City,area_Km2,population
Aucamville,3.96,8203
Auzeville-Tolosane,6.66,4439
Balma,16.59,16140
Beauzelle,4.42,6276
Blagnac,16.88,24241
Castanet Tolosan,8.22,13056
Colomiers,20.83,39266
Cornebarrieu,18.7,6545
Cugnaux,13.01,17841
Escalquens,8.42,6563
Fenouillet,9.51,5121
Labege,7.65,4433
Leguevin,24.45,9189
L Union,6.77,11785
Muret,57.84,26038
Pibrac,25.86,8564
Plaisance du Touch,26.53,18196
Portet sur Garonne,16.19,9836
Quint-Fonsegrives,7.38,5557
Ramonville-Saint-Agne,6.46,14217
Saint-Jean,5.94,10752
Saint-Orens-de-Gameville,13.06,11887
Toulouse,118.3,479638
Tournefeuille,18.17,27045
Vieille Toulouse,5.53,1188
Villeneuve Tolosane,5.08,9397
